gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value,hgrank,fcrank,rank,Plot
GTF2I,0.002795217938062325,0.017696833216045774,90,0.376,1.850830790894754,0.06635114255940454,1.3541906569347395,0.1756755590210829,0.039374140078479156,0.039374140078479156,0.25,0.8375,0.07846709067491994,20,35,24,1.0
YY1,0.0417447683357695,0.15525780263056635,51,0.501,-0.8269118201182847,0.40973149417717825,-1.5290747074874544,0.12624592465785203,-0.056536192826390504,0.056536192826390504,0.15,0.91,0.31801355562812433,29,26,25,1.0
DDIT3,0.025846426974611623,0.10750106901372657,82,0.751,3.3755475936779407,0.0008989807617796863,2.401947313785961,0.016308057041647027,0.04399157981489453,0.04399157981489453,0.2,0.845,0.2372089316265328,27,30,26,1.0
IRF7,0.9575266251137058,0.9932309827780312,144,0.126,-2.9950503766889973,0.003134958086340302,-2.0893227278421698,0.03667868182733654,-0.26126390725876225,0.26126390725876225,0.18,0.685,1.0,49,8,27,1.0
ASH1L,0.004722367386123454,0.027323396680954914,123,0.376,0.5955180831381763,0.5523033661854887,1.3824352049222357,0.16683811277552296,0.038611339037115194,0.038611339037115194,0.25,0.755,0.1089487520023992,21,37,28,1.0
ERG,0.9967566031474852,0.9996595195904617,164,0.626,-4.118002499630878,6.109897190563779e-05,-3.9689393596675884,7.21932490224525e-05,-0.25462920495647323,0.25462920495647323,0.18,0.635,1.0,51,10,29,1.0
STAT5A,0.004816282231448967,0.027816702638910434,101,0.376,1.1574092443199437,0.24911061757448408,0.7819483764757453,0.43424491290259026,0.031026819358354305,0.031026819358354305,0.24,0.8075,0.1089487520023992,23,39,30,1.0
CEBPD,0.08363857052691478,0.2585919968145438,122,0.626,1.4636043958176133,0.14504764237488305,0.7471263310117092,0.45498730739713833,0.04391304543416998,0.04391304543416998,0.21,0.7475,0.4560349309310055,32,31,31,1.0
ZNF76,0.999627820057054,0.999964943273032,159,0.251,-6.835986925584293,4.089412197144918e-11,-3.4972940994380317,0.00047000337215178447,-0.23985614728324978,0.23985614728324978,0.16,0.6425,1.0,52,12,32,1.0
ATF6,0.004816282231448967,0.027816702638910434,113,0.376,0.6974149749595657,0.48677332945939433,1.022994313410129,0.30631053451525303,0.022720019250424595,0.022720019250424595,0.31,0.795,0.1089487520023992,22,44,33,1.0
