,gene_1,gene_2,HG_pval,rank
125,AHR,NPM1,1.5581130339822937e-13,195
2285,MITF,NPM1,1.5581130339822937e-13,196
2416,NCOA6,NPM1,1.5581130339822937e-13,197
2585,NPM1,HMGN1_negation,1.5581130339822937e-13,198
2596,NPM1,RB1_negation,1.5581130339822937e-13,199
2480,NFYB,NPM1,1.5581130339822937e-13,200
3147,RFX5,CTNNB1_negation,1.9804517484793033e-13,201
586,CEBPE,PPARD,1.9804517484793033e-13,202
228,ARNT,RFX5,2.6368116867056917e-13,203
3185,RFXAP,SRF,2.6368116867056917e-13,204
4416,NFIC_negation,SP3_negation,2.6545663393451293e-13,205
3205,RFXAP,EZH2_negation,2.6545663393451293e-13,206
3857,CEBPA_negation,CEBPD_negation,2.6545663393451293e-13,207
2024,KLF4,SP2,2.6545663393451293e-13,208
1808,HOPX,SP2,2.6545663393451293e-13,209
3862,CEBPA_negation,ELK1_negation,2.6545663393451293e-13,210
4381,MEF2A_negation,SP3_negation,2.6545663393451293e-13,211
3226,RFXAP,SP3_negation,2.8225667160975846e-13,212
3624,ZNF143,EGR1_negation,2.999884486077129e-13,213
1461,GATA2,NFIC_negation,3.3140497385983106e-13,214
2081,KLF5,NPM1,3.3140497385983106e-13,215
1260,FOS,POU2F2,3.473038923934395e-13,216
2576,NPM1,ESR1_negation,3.9279969733097976e-13,217
3154,RFX5,FOSB_negation,4.3275570890537923e-13,218
3167,RFX5,PARP1_negation,6.348514808999586e-13,219
1421,GATA2,PPARD,7.2305861303713e-13,220
2552,NPM1,RFX1,8.099334463102047e-13,221
2944,PPARD,MEF2A_negation,8.314113699944031e-13,222
1304,FOS,NR3C1_negation,8.80247268176041e-13,223
385,ATF4,GATA2,8.80247268176041e-13,224
86,ABL1,SNAI2_negation,9.30698562673691e-13,225
2955,PPARD,SNAI2_negation,9.463006794979815e-13,226
3661,ZNF148,CEBPA_negation,1.4246172687830092e-12,227
3329,SP2,SPI1_negation,1.4246172687830092e-12,228
3394,SRF,CEBPA_negation,1.4246172687830092e-12,229
