gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value
EGR3,0.0041733888958683345,0.025845618287367565,0,0.501,5.484243163548024,7.467774897552145e-08,1.1372832424918142,0.2554198977644213,0.025995156071412746,0.025995156071412746,0.0,1.0,0.11247630180613663
EGR3_negation,0.23550993521595975,0.5306579923996317,28,-0.499,-5.484243163548024,7.467774897552145e-08,-1.1372832424918142,0.2554198977644213,0.025995260994688314,0.025995260994688314,0.0,0.9285714285714286,0.7721648805815075
ELF1,0.10496034599649803,0.3159631558415233,0,0.501,,,0.0,1.0,0.0,0.0,0.0,1.0,0.5352413613852671
ELF1_negation,0.10496034599649803,0.3159631558415233,0,-0.499,,,0.0,1.0,0.0,0.0,0.0,1.0,0.5352413613852671
ELK1,0.01564961270976941,0.07738158807932792,145,0.501,2.561895056609195,0.011263604287211546,2.2463600553583354,0.024680954717328646,0.1970637442797284,0.1970637442797284,0.3425925925925926,0.7244897959183674,0.2301857366916717
ELK1_negation,0.21090093327470255,0.49802090698730106,0,-0.124,-2.561895056609195,0.011263604287211546,-2.2463600553583354,0.024680954717328646,0.197064738503631,0.197064738503631,0.0,1.0,0.7383906191925285
ELK4,0.9966089378991874,0.999774932469189,52,0.376,-4.216061122565575,3.735705643086672e-05,-3.919941546459054,8.857044837699611e-05,-0.19789250377852147,0.19789250377852147,0.046296296296296294,0.8801020408163265,1.0
ELK4_negation,3.905177240928188e-05,0.00041302924376418015,0,-0.249,4.216061122565575,3.735705643086672e-05,3.919941546459054,8.857044837699611e-05,-0.19789380803487858,0.19789380803487858,0.0,1.0,0.004220081403677493
ELL,0.03417490278961798,0.13977114993670411,21,0.376,1.8269019417533237,0.06925637793794802,1.182413529892283,0.23704165729275717,0.07418268611424449,0.07418268611424449,0.05555555555555555,0.9617346938775511,0.3589750845368903
ELL_negation,0.4222912641016705,0.7341253873374816,80,-0.374,-1.8269019417533237,0.06925637793794802,-1.182413529892283,0.23704165729275717,0.0741831159866892,0.0741831159866892,0.1111111111111111,0.826530612244898,0.9656460324193887
EP300,0.9808552143753595,0.9981496509272869,1,0.376,-8.275578221371228,4.6151821158222164e-14,-6.647691334089057,2.977258344345252e-11,-0.23837613069712868,0.23837613069712868,0.0,0.9974489795918368,1.0
EP300_negation,1.8947165331794135e-15,4.2464696874217343e-14,0,-0.249,8.275578221371228,4.6151821158222164e-14,6.647691334089057,2.977258344345252e-11,-0.2383776373803648,0.2383776373803648,0.0,1.0,1.3305605020588102e-12
ERCC2,0.14590247264547146,0.3951841722446492,90,0.376,-1.144226504910513,0.25389575885293814,-0.40767692951756834,0.6835108771273205,-0.04358111033501288,0.04358111033501288,0.16666666666666666,0.8163265306122449,0.6274883816046795
ERCC2_negation,0.08181520147597027,0.2665411204974073,0,-0.374,1.144226504910513,0.25389575885293814,0.40767692951756834,0.6835108771273205,-0.04358131697077971,0.04358131697077971,0.0,1.0,0.5352413613852671
ERG,0.9960608129115264,0.9997278329166935,39,0.751,-5.158373038460202,6.824709471428009e-07,-4.805623436693255,1.5427002189003124e-06,-0.3211855190713954,0.3211855190713954,0.027777777777777776,0.9081632653061225,1.0
ERG_negation,1.1555165148085103e-06,1.536306211693578e-05,53,-0.374,5.158373038460202,6.824709471428009e-07,4.805623436693255,1.5427002189003124e-06,-0.3211867981703402,0.3211867981703402,0.24074074074074073,0.9311224489795918,0.0002777168921138391
ESR1,0.004441617067897377,0.0273006775974209,70,0.626,1.0422410516620875,0.29861480186675693,0.8856818902342005,0.3757889697257758,0.022238746001653247,0.022238746001653247,0.14814814814814814,0.8622448979591837,0.11771851808062223
ESR1_negation,0.16432004370660208,0.42492892327959725,14,-0.499,-1.0422410516620875,0.29861480186675693,-0.8856818902342005,0.3757889697257758,0.022238818658927826,0.022238818658927826,0.009259259259259259,0.9668367346938775,0.6557301534632387
ESR2,0.41174681427197096,0.7246176810424274,86,0.501,-1.3697673917367572,0.1727149363842648,-1.5908426308665258,0.11164499615467002,-0.07205265527145498,0.07205265527145498,0.1574074074074074,0.8239795918367347,0.9593529861688476
ESR2_negation,0.0004186990704848194,0.003543868231752719,0,-0.249,1.3697673917367572,0.1727149363842648,1.5908426308665258,0.11164499615467002,-0.07205298000205139,0.07205298000205139,0.0,1.0,0.024494383366526144
ESRRA,0.10186987318341587,0.31055577752522645,0,0.501,-1.0767662458714151,0.28305769132676795,-1.0139271235971994,0.3106175277716925,-0.024458625750699323,0.024458625750699323,0.0,1.0,0.5352413613852671
ESRRA_negation,0.010576598943017759,0.05506579301351849,4,-0.374,1.0767662458714151,0.28305769132676795,1.0139271235971994,0.3106175277716925,-0.02445873810553226,0.02445873810553226,0.0,0.9897959183673469,0.18754291823444702
ETS1,0.9622859859210334,0.9954966280647048,58,0.626,-2.875894470364964,0.004559544886874706,-2.5536220954098607,0.010660889401481686,-0.13393001057558002,0.13393001057558002,0.07407407407407407,0.8724489795918368,1.0
ETS1_negation,0.00019363614334853436,0.0017543209555133982,0,-0.249,2.875894470364964,0.004559544886874706,2.5536220954098607,0.010660889401481686,-0.1339305562893642,0.1339305562893642,0.0,1.0,0.014465453492829775
ETS2,0.740036585432338,0.9310158537320637,93,0.126,-9.713875109843412,1.7239637912311712e-20,-3.5983882487307137,0.0003201953803946358,-0.9475272215556696,0.9475272215556696,0.009259259259259259,0.7653061224489796,1.0
ETS2_negation,1.5941978880415314e-06,2.129218343297756e-05,0,-0.124,9.713875109843412,1.7239637912311712e-20,3.5983882487307137,0.0003201953803946358,-0.9475379387188312,0.9475379387188312,0.0,1.0,0.00037064171161109086
ETV1,0.10496034599649803,0.3159631558415233,0,0.751,,,0.0,1.0,0.0,0.0,0.0,1.0,0.5352413613852671
ETV1_negation,0.10496034599649803,0.3159631558415233,0,-0.749,,,0.0,1.0,0.0,0.0,0.0,1.0,0.5352413613852671
ETV4,0.21732032209605395,0.5079708762180498,0,0.376,-1.401750624326746,0.16278200376727628,-1.334352164140528,0.18208846936669154,-0.05386790590510094,0.05386790590510094,0.0,1.0,0.7484210401958727
ETV4_negation,0.004895014771125657,0.02984302031833606,27,-0.249,1.401750624326746,0.16278200376727628,1.334352164140528,0.18208846936669154,-0.05386826562034064,0.05386826562034064,0.05555555555555555,0.9464285714285714,0.1230370135931399
EZH2,0.026486370516517633,0.11588086192160414,65,0.376,2.122416803814982,0.03458244506542163,0.4242247015644069,0.6714019477605369,0.054967611853789664,0.054967611853789664,0.09259259259259259,0.8596938775510204,0.3148208387465546
EZH2_negation,0.1632800895811323,0.42374215487596584,41,-0.374,-2.122416803814982,0.03458244506542163,-0.4242247015644069,0.6714019477605369,0.0549679052385606,0.0549679052385606,0.018518518518518517,0.9005102040816326,0.6557301534632387
FLI1,0.9999911468120813,0.9999996332307803,124,0.126,-11.107380562467563,2.6551382930316257e-25,-4.87031018196726,1.1142319577683487e-06,-0.6127807079527933,0.6127807079527933,0.009259259259259259,0.6862244897959183,1.0
FLI1_negation,2.543381277538637e-06,3.3530169019325824e-05,0,-0.124,11.107380562467563,2.6551382930316257e-25,4.87031018196726,1.1142319577683487e-06,-0.6127886229656714,0.6127886229656714,0.0,1.0,0.000492474357471348
FOS,0.12073245846895506,0.3472840235357227,96,0.501,0.26979111669367994,0.7876406399192445,0.24407963769086885,0.8071691424664349,0.011621480838403383,0.011621480838403383,0.18518518518518517,0.8061224489795918,0.5767182117157529
FOSB,2.9443383089447293e-05,0.00032011427398468366,0,0.876,7.337687171230875,1.7373241009955763e-12,4.09895835314758,4.1501369696523674e-05,0.058272972795557786,0.058272972795557786,0.0,1.0,0.003343415750506696
