gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value
ATF4,2.4750907079757503e-12,5.220260966579304e-11,107,0.376,7.0562908513640545,7.853847275545847e-11,6.4924449717694745,8.44543715451361e-11,0.39805285991811984,0.39805285991811984,0.4766355140186916,0.8575063613231552,1.6356817695281819e-09
ATF4_negation,0.9996338051108284,0.9999792039493132,0,-0.249,-7.0562908513640545,7.853847275545847e-11,-6.4924449717694745,8.44543715451361e-11,0.3980550277564364,0.3980550277564364,0.0,1.0,1.0
ATF5,0.9999999016042229,0.9999999931771946,121,0.126,-5.104968650417506,6.146710844976682e-07,-3.0207510606808863,0.002521485722622632,-0.28354430464468566,0.28354430464468566,0.09345794392523364,0.7175572519083969,1.0
ATF5_negation,0.9999944114593344,0.9999997273752614,0,-0.124,5.104968650417506,6.146710844976682e-07,3.0207510606808863,0.002521485722622632,-0.28354800805115066,0.28354800805115066,0.0,1.0,1.0
ATF6,0.9995678990674106,0.9999753951857749,113,0.376,-1.7290476618831878,0.08505658054217484,-1.6215074712986592,0.10490884896300477,-0.03895173955779019,0.03895173955779019,0.12149532710280374,0.7455470737913485,1.0
ATF6_negation,0.9999947525045411,0.9999997399700895,22,-0.374,1.7290476618831878,0.08505658054217484,1.6215074712986592,0.10490884896300477,-0.03895193832927755,0.03895193832927755,0.018691588785046728,0.9491094147582697,1.0
ATM,0.9995010966753795,0.9999721980994425,35,0.501,0.12037352018476148,0.904327651629125,0.10943382980605335,0.9128584025632722,0.0024493928725716177,0.0024493928725716177,0.06542056074766354,0.9287531806615776,1.0
ATM_negation,0.6564397803253423,0.889317855720594,103,-0.499,-0.12037352018476148,0.904327651629125,-0.10943382980605335,0.9128584025632722,0.002449403010086202,0.002449403010086202,0.19626168224299065,0.7913486005089059,1.0
BACH2,0.9999999713388826,0.9999999977308498,25,0.251,-1.411479751767807,0.15945884624261028,-0.443395689731423,0.6574795530200369,-0.019741657105327652,0.019741657105327652,0.028037383177570093,0.9440203562340967,1.0
BACH2_negation,0.9999999827085503,0.9999999985661904,0,-0.249,1.411479751767807,0.15945884624261028,0.443395689731423,0.6574795530200369,-0.019741811794990675,0.019741811794990675,0.0,1.0,1.0
BCL6,0.9989174953488911,0.9999336551599385,118,0.501,-0.2357128935211505,0.8138645397524159,0.22226388191643248,0.8241084669471059,-0.006445161775114209,0.006445161775114209,0.1308411214953271,0.7353689567430025,1.0
BCL6_negation,0.9997442418291446,0.9999864222950751,101,-0.499,0.2357128935211505,0.8138645397524159,-0.22226388191643248,0.8241084669471059,-0.0064451867400296846,0.0064451867400296846,0.08411214953271028,0.7659033078880407,1.0
BRCA1,0.9993923675121849,0.9999641560145486,56,0.501,-1.418946493870562,0.157352769888788,-1.5864131741539595,0.11264561387036541,-0.06588187178377927,0.06588187178377927,0.07476635514018691,0.8778625954198473,1.0
BRCA1_negation,0.9438537592308899,0.9920908076986175,26,-0.249,1.418946493870562,0.157352769888788,1.5864131741539595,0.11264561387036541,-0.06588220792243159,0.06588220792243159,0.009345794392523364,0.9363867684478372,1.0
BRPF1,0.9999976376282442,0.9999998770873141,0,0.251,6.460571323957966,2.908554841204239e-10,2.6237704091085825,0.00869623834680891,0.12634195450656677,0.12634195450656677,0.0,1.0,1.0
BRPF1_negation,0.999999999970906,0.9999999999910776,79,-0.249,-6.460571323957966,2.908554841204239e-10,-2.6237704091085825,0.00869623834680891,0.12634302584317914,0.12634302584317914,0.028037383177570093,0.806615776081425,1.0
CDX2,0.9999999917273557,0.9999999991936978,0,0.376,-1.8306305893304444,0.0688573532223839,-1.9852806158953331,0.04711325944169988,-0.09873128094038122,0.09873128094038122,0.0,1.0,1.0
CDX2_negation,0.0019588467732213426,0.013465062249266104,212,-0.374,1.8306305893304444,0.0688573532223839,1.9852806158953331,0.04711325944169988,-0.09873196451556902,0.09873196451556902,0.5514018691588785,0.6106870229007634,0.09171853995876912
CEBPA,1.0,1.0,0,0.501,-13.014313842052422,4.481153167241341e-24,-10.312062990034551,6.215260179072603e-25,-0.7092740713113994,0.7092740713113994,0.0,1.0,1.0
CEBPA_negation,1.1970973977183597e-43,2.649845448376845e-42,55,-0.249,13.014313842052422,4.481153167241341e-24,10.312062990034551,6.215260179072603e-25,-0.7092789904942909,0.7092789904942909,0.514018691588785,1.0,6.2271368036855855e-40
CEBPB,0.0006251706164615585,0.00503720690608903,151,0.501,4.773417533003435,2.747298426787091e-06,4.305655165817478,1.664922395192138e-05,0.22452223887665906,0.22452223887665906,0.19626168224299065,0.6692111959287532,0.036658004171658556
CEBPB_negation,1.0,1.0,0,-0.249,-4.773417533003435,2.747298426787091e-06,-4.305655165817478,1.664922395192138e-05,0.2245232508160611,0.2245232508160611,0.0,1.0,1.0
CEBPD,0.9999332642463796,0.9999966100720152,122,0.626,-2.478628752263349,0.01410456898189356,-2.6403741625963972,0.00828145408217857,-0.07916823217845577,0.07916823217845577,0.08411214953271028,0.712468193384224,1.0
CEBPD_negation,0.08411171573173748,0.2684734435090125,95,-0.499,2.478628752263349,0.01410456898189356,2.6403741625963972,0.00828145408217857,-0.07916850023647472,0.07916850023647472,0.2336448598130841,0.821882951653944,1.0
CEBPE,1.6272017893578788e-14,3.591349206451056e-13,115,0.126,6.728756135125847,5.624868655517285e-10,6.059992665018657,1.3612775614127047e-09,0.48499540381986234,0.48499540381986234,0.5233644859813084,0.8498727735368957,1.2984108669476895e-11
CEBPE_negation,1.0,1.0,0,-0.124,-6.728756135125847,5.624868655517285e-10,-6.059992665018657,1.3612775614127047e-09,0.4850011086205427,0.4850011086205427,0.0,1.0,1.0
CEBPZ,0.9999987206649609,0.9999999314950264,0,0.501,7.642729654631127,1.1683282011455463e-13,3.301128079804671,0.0009629691200185548,0.0988874676081114,0.0988874676081114,0.0,1.0,1.0
CEBPZ_negation,1.0,1.0,0,-0.249,-7.642729654631127,1.1683282011455463e-13,-3.301128079804671,0.0009629691200185548,0.09888787895234327,0.09888787895234327,0.0,1.0,1.0
CHD4,0.9940077164252912,0.9995350903889196,0,0.501,13.047918423353279,1.4458096981712645e-32,4.804899844553369,1.5482899019262544e-06,0.11356627831419965,0.11356627831419965,0.0,1.0,1.0
CHD4_negation,0.9780736198822371,0.9976377454367421,119,-0.499,-13.047918423353279,1.4458096981712645e-32,-4.804899844553369,1.5482899019262544e-06,0.11356675093831481,0.11356675093831481,0.0,0.6972010178117048,1.0
CIITA,0.9594142472165117,0.9947758888050143,28,0.376,-0.7644779539452647,0.44535157312403384,-1.1716966949923988,0.24131885042070034,-0.03265178076324852,0.03265178076324852,0.028037383177570093,0.9363867684478372,1.0
CIITA_negation,0.9990344301056098,0.9999404093340298,49,-0.249,0.7644779539452647,0.44535157312403384,1.1716966949923988,0.24131885042070034,-0.0326520009712243,0.0326520009712243,0.028037383177570093,0.8829516539440203,1.0
