,gene_1,gene_2,HG_pval,TP,TN,q_value,HG_rank,CCS,MGD,CCS_rank,rank,Plot
3167,ATF1_negation,TWIST1_negation,2.0319902509287278e-06,0.08,1.0,2.801856979801725e-05,279,0.49239225196831526,0.09839225196831523,725,498,
176,ATF6,CEBPB,0.000665571575995298,0.25,0.8875,0.004224275999347791,617,0.7266299359778524,0.14662993597785248,388,499,
3340,CDX2_negation,RBMX_negation,2.3653839448575184e-06,0.23,0.94,3.2051361688795994e-05,288,0.4994712869540683,0.09947128695406833,719,500,
2451,POU2F2,CEBPD_negation,0.00013097164543665837,0.09,0.99,0.0010445722271485828,489,0.6532199290693809,0.13121992906938093,520,501,
2737,SMAD4,YY1_negation,0.0013125722888829292,0.22,0.9025,0.007280500117939874,706,0.8674802109396468,0.17348021093964675,304,502,
3259,BCL6_negation,FOS_negation,0.00468880446984187,0.16,0.9325,0.020288793705967693,905,1.2454708422448622,0.2494708422448622,106,503,
2482,POU2F2,YY1_negation,1.5740820020984505e-06,0.19,0.9625,2.2496734015392453e-05,273,0.47061817549283824,0.09461817549283827,740,504,
3655,HDAC1_negation,TWIST1_negation,4.103590906113483e-05,0.13,0.9775,0.00038536359684269544,417,0.6002374865946007,0.12023748659460075,598,505,
2463,POU2F2,HOXA10_negation,7.66858947710717e-24,0.51,0.94,1.3056607127109426e-21,23,0.08291655313731006,0.01691655313731016,993,506,
2565,RFXANK,FOXO1_negation,0.005199281475651545,0.18,0.9175,0.022227495915558355,916,1.2530507072563553,0.251050707256355,100,507,
3162,ATF1_negation,SEC14L2_negation,8.461884795882167e-08,0.15,0.9875,1.5270387493398417e-06,216,0.3848427324077328,0.0768427324077327,801,508,
3169,ATF1_negation,WT1_negation,1.0581999146113779e-08,0.2,0.975,2.3815579687460666e-07,174,0.297489973675906,0.059489973675906055,843,509,
2046,IRF1,ATF1_negation,4.885791095849888e-07,0.13,0.99,7.5923642584714925e-06,249,0.4123982059523442,0.08239820595234416,778,510,
2710,SMAD4,ERG_negation,0.003454033561942253,0.21,0.9,0.015754964209357996,847,1.080193156008888,0.21419315600888808,181,511,
2843,STAT1,ATM_negation,0.001110677689270276,0.06,0.995,0.006386804451075479,678,0.7777633413287433,0.15576334132874337,354,512,
2204,KLF4,ZIC1_negation,0.001213457914050164,0.09,0.9825,0.006792550417580315,689,0.7830062820628451,0.1570062820628452,344,513,
858,DNMT1,POU2F2,8.287767158008528e-06,0.16,0.97,9.630532994291215e-05,337,0.5231975033422832,0.10519750334228323,697,514,
115,ATF5,KLF4,0.00012829237405857005,0.16,0.9575,0.0010294937229781973,488,0.6376778061566128,0.1276778061566129,547,515,
3650,HDAC1_negation,SEC14L2_negation,8.866679912382202e-06,0.17,0.965,0.0001027275696357654,338,0.5225830585502428,0.10458305855024275,698,516,
2167,KLF4,ATM_negation,0.00022265891820793033,0.15,0.96,0.0016735745176626779,520,0.6554960744071402,0.13149607440714023,518,517,
631,CTNNB1,TFDP3,0.0027643170899366793,0.14,0.95,0.013298606540776458,814,0.9965162715424581,0.19851627154245816,227,518,
3567,FOS_negation,HDAC1_negation,6.912841372786462e-08,0.28,0.93,1.294694563657718e-06,209,0.307586366669547,0.06158636666954695,837,519,
1218,ETS2,GTF2I,0.00011453155434519849,0.11,0.9825,0.0009285829540699737,483,0.6228675665339846,0.12486756653398451,566,520,
1269,ETS2,NFATC3_negation,0.00011453155434519849,0.11,0.9825,0.0009285829540699737,482,0.6227651470236703,0.12476514702367025,567,521,
322,BCL6,HDAC1_negation,0.0004865678481351578,0.08,0.99,0.0031809677684428678,596,0.6877562820102854,0.13775628201028534,453,522,
644,CTNNB1,CREM_negation,0.0023150045656266734,0.15,0.945,0.011275569501236383,804,0.9715823931946298,0.1935823931946299,247,523,
2572,RFXANK,NFIC_negation,0.005419965222453914,0.2,0.9025,0.023045150717838792,921,1.1880812729331929,0.2380812729331928,132,524,
955,ELK1,CDX2_negation,7.36050192656538e-05,0.17,0.955,0.0006279678767849679,458,0.6042331023641647,0.12023310236416475,595,525,
1543,GTF2I,FOS_negation,0.006993739052368662,0.14,0.9425,0.028322111819106186,967,1.2949869798647278,0.2589869798647277,87,526,
3137,ATF1_negation,ATM_negation,1.4661475380254477e-06,0.13,0.9875,2.1186102431393554e-05,269,0.4048475642381687,0.08084756423816863,789,527,
1731,HIF1A,ATF1_negation,2.722241298956119e-06,0.11,0.9925,3.638326596147495e-05,292,0.43981941526494706,0.08781941526494705,768,528,
3173,ATF1_negation,ZBTB2_negation,4.1252960005158e-07,0.16,0.98,6.620761941811424e-06,244,0.3523771470451147,0.07037714704511469,816,529,
135,ATF5,ATF1_negation,6.485111904639456e-07,0.15,0.9825,9.805288887478035e-06,257,0.36979918601553796,0.07379918601553796,805,530,
3171,ATF1_negation,YBX1_negation,2.722241298956119e-06,0.11,0.9925,3.638326596147495e-05,293,0.43977466052094427,0.08777466052094418,769,531,
3215,ATM_negation,CDX2_negation,0.00022265891820793033,0.15,0.96,0.0016735745176626779,521,0.6392044146520989,0.12720441465209878,543,532,
1998,IKBKB,FOS_negation,0.005341827030847401,0.19,0.91,0.022737602883476548,918,1.1472805501191112,0.22928055011911122,146,533,
2761,SMARCB1,FOS_negation,0.005341827030847401,0.19,0.91,0.022737602883476548,919,1.1472805501191112,0.22928055011911122,145,534,
1809,HMGA1,FOS_negation,0.005341827030847401,0.19,0.91,0.022737602883476548,920,1.1472805501191112,0.22928055011911122,144,535,
1221,ETS2,HIF1A,0.00030562998565318496,0.09,0.9875,0.0021487379242690705,553,0.657877681158689,0.13187768115868903,512,536,
2147,KLF4,MYC,8.292414886918921e-05,0.14,0.97,0.0006865348138937526,472,0.6066182306281599,0.12061823062816,593,537,
1632,HDAC3,WT1_negation,0.002893240229112176,0.17,0.93,0.013800156805363313,820,0.9723770789800606,0.19437707898006065,246,538,
399,CEBPB,ELL_negation,0.004457218019615712,0.11,0.965,0.019502196385268296,893,1.0993516291147296,0.22135162911472958,173,539,
3156,ATF1_negation,NFATC3_negation,9.922405341713853e-07,0.14,0.985,1.4552861167846986e-05,267,0.3872594885838875,0.07725948858388738,799,540,
540,CREM,POU2F2,0.00011453155434519849,0.11,0.9825,0.0009285829540699737,481,0.6106203703937303,0.12262037039373032,587,541,
2062,IRF1,HDAC1_negation,4.593352037670401e-05,0.14,0.9725,0.0004192905962591443,429,0.5753795967037802,0.11537959670378026,641,542,
396,CEBPB,CEBPD_negation,0.0050878489182674645,0.1,0.97,0.021774881272060537,911,1.1254632956962491,0.22746329569624923,160,543,
