gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value,hgrank,fcrank,rank,Plot
ESR1_negation,0.00024664183169182356,0.002173189580508244,127,-0.624,1.6131281946065426,0.10883105546332307,2.021129629107661,0.043266347932741867,-0.041617452367790214,0.041617452367790214,0.3925233644859813,0.7837150127226463,0.01791928250594517,38,72,52,1.0
FOSB_negation,3.3882184781295786e-05,0.000351125082915241,142,-0.874,3.3669827396900214,0.0009622294903364714,2.9313172066669737,0.0033752793925499965,-0.04158754452795959,0.04158754452795959,0.42990654205607476,0.7557251908396947,0.00300052343582115,37,73,53,1.0
ERG,0.21378507342039002,0.4992482239312099,164,0.626,1.9879580471737455,0.04821944895838783,1.74301675818676,0.08133068758871805,0.10634919786693059,0.10634919786693059,0.3644859813084112,0.6819338422391857,1.0,64,47,54,1.0
STAT3,0.3934775452729426,0.704125063028903,87,0.376,-2.1649281305355514,0.032015508609558305,-2.4203744288828486,0.015504533179623288,-0.14381969801555897,0.14381969801555897,0.18691588785046728,0.8295165394402035,1.0,71,41,55,1.0
RUNX1_negation,0.02152251301257303,0.09692345937742816,184,-0.374,0.914452573937446,0.3616673051322262,1.1713193369585848,0.24147044164167708,-0.05417194444098463,0.05417194444098463,0.4485981308411215,0.6539440203562341,0.535929716557544,49,68,56,1.0
STAT6_negation,0.10629384091719767,0.3168657715409348,205,-0.499,2.2568253759219443,0.025291463132965004,2.006412665788916,0.04481223808983721,-0.09034488994474558,0.09034488994474558,0.4672897196261682,0.6055979643765903,1.0,61,56,57,1.0
ETS1,0.3324823884666839,0.64305401424441,140,0.501,3.0860676614928466,0.002241196664943627,2.8354682660782236,0.0045758560833067796,0.1047138455061986,0.1047138455061986,0.29906542056074764,0.7251908396946565,1.0,69,49,58,1.0
CEBPD_negation,0.08411171573173748,0.2684734435090125,95,-0.499,2.478628752263349,0.01410456898189356,2.6403741625963972,0.00828145408217857,-0.07916850023647472,0.07916850023647472,0.2336448598130841,0.821882951653944,1.0,58,60,59,1.0
HOPX,0.031168367644371885,0.12866487305657773,107,0.251,1.7587661691859235,0.08060817511503146,1.3399983780734324,0.1802458722342034,0.05443890960993831,0.05443890960993831,0.2803738317757009,0.8040712468193384,0.6871873901885401,52,67,60,1.0
MEF2D,0.5058372744778799,0.7940100039763403,155,0.376,-3.4800003811056217,0.0005862978972648495,-1.2750927962574283,0.2022763988379256,-0.10594809144624973,0.10594809144624973,0.308411214953271,0.6895674300254453,1.0,74,48,61,1.0
MYCN_negation,0.6707784970288491,0.8975233695649222,179,-0.374,-2.775400942247637,0.006119600048009076,-2.5513176666162987,0.01073164606624854,0.11225033277617029,0.11225033277617029,0.2523364485981308,0.6132315521628499,1.0,78,45,62,1.0
GATA1,0.8672943652995437,0.9734287025737542,183,0.501,-4.401401844134443,2.191100634181715e-05,-3.503014627895149,0.0004600241996492641,-0.19416418951320494,0.19416418951320494,0.308411214953271,0.6183206106870229,1.0,88,35,63,1.0
USF1_negation,0.008389065960889081,0.04604380417787164,115,-0.374,-0.9153018921169407,0.3614662691032944,-0.5067918394121712,0.6123008828429501,0.035616357145178815,0.035616357145178815,0.21495327102803738,0.7659033078880407,0.2705073495449959,47,77,64,1.0
ZNF143,0.02473882838427404,0.10712875198210853,159,0.376,1.5172907816589007,0.13102147581529758,1.5422622841977243,0.12300987011747287,0.03662765683031304,0.03662765683031304,0.40186915887850466,0.7048346055979644,0.5854710864138489,50,76,65,1.0
HDAC4,0.9997817948216791,0.9999882392700781,202,0.501,-4.215185110757138,4.072126390145568e-05,-3.9056556499746624,9.397024863950949e-05,-0.19930934643113524,0.19930934643113524,0.2616822429906542,0.5572519083969466,1.0,95,32,66,1.0
SPI1,0.21544647120836055,0.5012067644532211,206,0.251,-0.9901958266497065,0.32333541461145465,-0.3716976633067674,0.7101179649710833,-0.06473727762641336,0.06473727762641336,0.4485981308411215,0.5979643765903307,1.0,65,63,67,1.0
HIVEP2,0.005712046894831923,0.033748393203028006,63,0.626,0.7505858962368861,0.4541436938721741,0.9935837030322016,0.32042558150705347,0.015355668917345477,0.015355668917345477,0.205607476635514,0.8956743002544529,0.2114899307389755,45,83,68,1.0
SPI1_negation,0.279800012367817,0.5877020541242968,109,-0.249,0.9901958266497065,0.32333541461145465,0.3716976633067674,0.7101179649710833,-0.06473771819855736,0.06473771819855736,0.24299065420560748,0.7888040712468194,1.0,67,62,69,1.0
NFKB1_negation,0.5129051911957199,0.8027316859480502,134,-0.499,-3.01038941494124,0.003104608739275851,-2.3426386739171696,0.019147916751214338,0.08993157708124007,0.08993157708124007,0.27102803738317754,0.732824427480916,1.0,75,57,70,1.0
SMARCB1,0.9979437237487694,0.9998568645909839,129,0.501,-3.0477973799466715,0.0026079375668618824,-2.035469234392592,0.041803681134722624,-0.11317629236387983,0.11317629236387983,0.1588785046728972,0.7150127226463104,1.0,93,44,71,1.0
ING4,0.9998154617321848,0.9999900770378667,209,0.251,-3.7431301810371274,0.00023942112029479013,-3.026034073154282,0.002477843784746102,-0.1318512553118641,0.1318512553118641,0.27102803738317754,0.5419847328244275,1.0,96,42,72,1.0
NR4A1,0.18428406950627976,0.45285035924293127,98,0.501,-0.5546056696000436,0.5798755482017184,-0.37207502134058135,0.7098369934417703,-0.02221720077746384,0.02221720077746384,0.17757009345794392,0.7989821882951654,1.0,62,82,73,1.0
KLF5,0.07976923554304838,0.2579243417749156,188,0.501,0.2711033852078986,0.7866643262945805,0.13584889217303173,0.8919407389338123,0.010630438595108366,0.010630438595108366,0.4392523364485981,0.6412213740458015,1.0,57,88,74,1.0
FLI1,0.36637923532191063,0.6792816635173616,124,0.126,0.3919449868595945,0.6956204559837554,0.1577356581342424,0.8746651010863672,0.0381992104849874,0.0381992104849874,0.2523364485981308,0.7531806615776081,1.0,70,75,75,1.0
HMGA1,0.9974175321179525,0.9998251165246107,129,0.251,-2.57951492348746,0.010628185894789444,-1.9667900722384484,0.049207417588799665,-0.09048526939256807,0.09048526939256807,0.1588785046728972,0.7150127226463104,1.0,92,55,76,1.0
HBP1,0.05130083131428102,0.186866076511373,186,0.501,0.09942645896249937,0.9209270372525697,0.25886761119638824,0.7957373890669084,0.0021661515568421673,0.0021661515568421673,0.40186915887850466,0.6361323155216285,0.9148651662535969,54,94,77,1.0
TFDP3,0.2899093933954597,0.5987108010675282,99,0.376,0.4835220719139733,0.6293745354192276,0.3422637366692772,0.732152423306123,0.02584215913926507,0.02584215913926507,0.21495327102803738,0.806615776081425,1.0,68,80,78,1.0
SPDEF_negation,0.25408779723303293,0.553840263505914,72,-0.499,0.7651544032505291,0.44532186793957906,0.48905601182291425,0.6248020426393248,-0.01155748408593782,0.01155748408593782,0.16822429906542055,0.8625954198473282,1.0,66,86,79,1.0
CREM_negation,0.10380484570506074,0.3112991320962184,114,-0.624,-0.04010268118346571,0.9680653201007221,0.39509386140323394,0.6927736190146163,0.0009681929650254059,0.0009681929650254059,0.27102803738317754,0.7837150127226463,1.0,59,96,80,1.0
PER1,0.713382235866336,0.9180538333907549,101,0.126,-0.4460398580207596,0.6561270194835698,-0.30452793328787947,0.760725714964021,-0.039752872217709775,0.039752872217709775,0.18691588785046728,0.7938931297709924,1.0,82,74,81,1.0
POU4F2_negation,0.9627768326253271,0.9953019024706005,144,-0.374,-2.011042712762044,0.04577327221673351,-1.4747151961450222,0.14028912885623238,0.04896326726566061,0.04896326726566061,0.21495327102803738,0.6921119592875318,1.0,90,70,82,1.0
IKBKB,0.9974175321179525,0.9998251165246107,129,0.501,-2.529728275956656,0.012179419399773692,-1.9709410106104022,0.048730623530664055,-0.05160963257173748,0.05160963257173748,0.1588785046728972,0.7150127226463104,1.0,91,69,83,1.0
PTTG1_negation,0.9986921710526939,0.9999192316761804,175,-0.499,-2.1909416748860124,0.02938116683317371,-2.006412665788916,0.04481223808983721,0.04595771125450589,0.04595771125450589,0.21495327102803738,0.6132315521628499,1.0,94,71,84,1.0
HOXA9_negation,0.49875046856312527,0.7912268497472928,124,-0.249,0.11620581603421033,0.9076292083953443,0.08754706384484268,0.9302366774715304,-0.004547217741497932,0.004547217741497932,0.2523364485981308,0.7531806615776081,1.0,73,92,85,1.0
TP63,0.7337052894607837,0.9265697070239757,141,0.501,-1.0288129691991252,0.3049331183617267,-0.6883010536766941,0.49126321832539865,-0.02437657236065866,0.02437657236065866,0.2523364485981308,0.7099236641221374,1.0,85,81,86,1.0
