gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value,hgrank,fcrank,rank,Plot
ENSG00000182154,0.030359529891759714,0.12245818429846968,85,0.001,-0.480705460510589,0.6313360454949242,-0.11140186780681582,0.9112976789864093,-0.16765702498802743,0.16765702498802743,0.16831683168316833,0.8295739348370927,0.009932267040142991,183,344,279,
ENSG00000096746,0.011448195514489553,0.05691895707839181,74,0.001,0.32127824538656635,0.748399793456479,0.49803187960694134,0.6184615725411116,0.11867834880985635,0.11867834880985635,0.1782178217821782,0.8596491228070176,0.004706994526310143,152,377,280,
ENSG00000196230,0.14181919568979906,0.37534680948169513,118,0.001,-0.9783881812594561,0.32916183918306696,-0.32341234287169024,0.7463829831355044,-0.2827663881323254,0.2827663881323254,0.22772277227722773,0.7619047619047619,0.03002689594168921,248,282,281,
ENSG00000215021,0.8356605913785735,0.9608041315557788,126,0.001,-2.516420809944969,0.012632675906855535,-1.4281796547551995,0.15324015502766813,-0.7213024360946821,0.7213024360946821,0.18811881188118812,0.731829573934837,0.07601479136499517,395,138,282,
ENSG00000087302,0.8597730349889379,0.9686876974126395,152,0.001,-2.738677394525732,0.0067506016940420575,-1.8730161788004087,0.06106615090962595,-0.7284267011043799,0.7284267011043799,0.2079207920792079,0.6716791979949874,0.07661965652280087,398,136,283,
ENSG00000176101,0.6128268274364427,0.8575161549010903,131,0.001,-1.9095466060351571,0.05775016984207719,-1.173381611086323,0.24064280808243843,-0.5278715695922402,0.5278715695922402,0.2079207920792079,0.7243107769423559,0.0680177338837139,353,181,284,
ENSG00000175482,0.7995502578275397,0.9471381801210529,165,0.001,-3.0025931691515657,0.0030065189588362167,-1.7959214605949998,0.07250700882055698,-0.700752581033048,0.700752581033048,0.25742574257425743,0.6516290726817042,0.07497394624899878,390,144,285,
ENSG00000172270,0.16210846689855937,0.4077070229072288,100,0.001,-0.9332056196784371,0.35192410277975095,-0.31339002950498707,0.7539843582924415,-0.29954432887671706,0.29954432887671706,0.18811881188118812,0.7969924812030075,0.03258068853735485,261,274,286,
ENSG00000270170,0.04498563625860938,0.16570827896454776,79,0.001,-0.5205157364413594,0.6033551785909226,-0.07825113897849001,0.937628283668631,-0.18828211250909271,0.18828211250909271,0.15841584158415842,0.8421052631578947,0.01337712259711609,201,335,287,
ENSG00000111832,0.2256486039087125,0.503237473750233,136,0.001,-1.2863673921178305,0.19988140953366537,-0.47605988491839984,0.6340317149434218,-0.3370677292161949,0.3370677292161949,0.26732673267326734,0.7268170426065163,0.040143645206443104,277,259,288,
ENSG00000108298,0.010252357623193419,0.05149100103895852,180,3.8083549220576,3.281752721851154,0.001131524070127555,2.9392361315812137,0.0032902229797050755,0.10056277552443788,0.10056277552443788,0.45544554455445546,0.6641604010025063,0.004271646545626111,146,390,289,
