,gene_1,gene_2,gene_3,gene_4,HG_stat,TP,TN,rank
60133,ENSG00000198851,ENSG00000196154_negation,ENSG00000019582_negation,ENSG00000051523_negation,5.529818734632214e-30,0.37623762376237624,1.0,89
104062,ENSG00000196154_negation,ENSG00000019582_negation,ENSG00000051523_negation,ENSG00000198851,5.529818734632214e-30,0.37623762376237624,1.0,90
106047,ENSG00000019582_negation,ENSG00000198851,ENSG00000051523_negation,ENSG00000227507,5.529818734632214e-30,0.37623762376237624,1.0,91
30767,ENSG00000156508,ENSG00000227507,ENSG00000171223,ENSG00000198851,5.529818734632214e-30,0.37623762376237624,1.0,92
59957,ENSG00000198851,ENSG00000196154_negation,ENSG00000167286,ENSG00000051523_negation,5.529818734632214e-30,0.37623762376237624,1.0,93
61123,ENSG00000198851,ENSG00000051523_negation,ENSG00000019582_negation,ENSG00000227507,5.529818734632214e-30,0.37623762376237624,1.0,94
60167,ENSG00000198851,ENSG00000196154_negation,ENSG00000051523_negation,ENSG00000167286,5.529818734632214e-30,0.37623762376237624,1.0,95
30789,ENSG00000156508,ENSG00000227507,ENSG00000142546,ENSG00000198851,5.529818734632214e-30,0.37623762376237624,1.0,96
61114,ENSG00000198851,ENSG00000051523_negation,ENSG00000196154_negation,ENSG00000019582_negation,5.529818734632214e-30,0.37623762376237624,1.0,97
61135,ENSG00000198851,ENSG00000051523_negation,ENSG00000019582_negation,ENSG00000196154_negation,5.529818734632214e-30,0.37623762376237624,1.0,98
107191,ENSG00000019582_negation,ENSG00000196154_negation,ENSG00000051523_negation,ENSG00000198851,5.529818734632214e-30,0.37623762376237624,1.0,99
60498,ENSG00000198851,ENSG00000019582_negation,ENSG00000051523_negation,ENSG00000227507,5.529818734632214e-30,0.37623762376237624,1.0,100
60175,ENSG00000198851,ENSG00000196154_negation,ENSG00000051523_negation,ENSG00000019582_negation,5.529818734632214e-30,0.37623762376237624,1.0,101
56290,ENSG00000198851,ENSG00000156508,ENSG00000171223,ENSG00000227507,5.529818734632214e-30,0.37623762376237624,1.0,102
60510,ENSG00000198851,ENSG00000019582_negation,ENSG00000051523_negation,ENSG00000196154_negation,5.529818734632214e-30,0.37623762376237624,1.0,103
