"","1","2","3","4","5"
"HDAC2",0.356481481481482,0.363317757009346,0.327380952380952,0.35875,0.351485148514851
"HDAC3",0.615740740740741,0.577102803738318,0.635416666666667,0.6175,0.601485148514851
"HDAC4",0.486111111111111,0.425233644859813,0.450892857142857,0.515,0.495049504950495
"HDAC9",0.479166666666667,0.478971962616822,0.404761904761905,0.4425,0.469059405940594
"HDGF",0.5,0.5,0.5,0.5,0.5
"HES1",0.375,0.379672897196262,0.37797619047619,0.4225,0.375
"HIF1A",0.439814814814815,0.411214953271028,0.461309523809524,0.49125,0.430693069306931
"HIPK2",0.75,0.75,0.75,0.75,0.75
"HIVEP2",0.605324074074074,0.632009345794392,0.648809523809524,0.62625,0.626237623762376
"HLX",0.5,0.5,0.5,0.5,0.5
"HMGA1",0.271990740740741,0.274532710280374,0.3125,0.2925,0.297029702970297
"HMGN1",0.435185185185185,0.350467289719626,0.305059523809524,0.43125,0.456683168316832
"HNRNPD",0.487268518518518,0.438084112149533,0.392857142857143,0.5475,0.46039603960396
"HOPX",0.282407407407407,0.285046728971963,0.266369047619048,0.27125,0.275990099009901
"HOXA1",0.118055555555556,0.123831775700935,0.0833333333333333,0.125,0.125
"HOXA10",0.497685185185185,0.44392523364486,0.431547619047619,0.3725,0.465346534653465
"HOXA7",0.579861111111111,0.51518691588785,0.613095238095238,0.62375,0.551980198019802
"HOXA9",0.248842592592593,0.218457943925234,0.203869047619048,0.18625,0.232673267326733
"HOXC13",0.405092592592593,0.440420560747664,0.424107142857143,0.375,0.375
"HSF1",0.547453703703704,0.54088785046729,0.580357142857143,0.665,0.590346534653465
"HSF2",0.30787037037037,0.360981308411215,0.453869047619048,0.32375,0.294554455445545
"IKBKB",0.521990740740741,0.525700934579439,0.569940476190476,0.54375,0.54950495049505
"ILF3",0.616898148148148,0.646028037383178,0.625,0.74375,0.75
"ING1",0.248842592592593,0.25,0.24702380952381,0.24875,0.25
"ING4",0.303240740740741,0.287383177570093,0.357142857142857,0.32,0.287128712871287
"IRF1",0.310185185185185,0.30607476635514,0.282738095238095,0.31,0.278465346534653
"IRF2",0.298611111111111,0.259345794392523,0.257440476190476,0.27625,0.297029702970297
"IRF4",0.5,0.5,0.5,0.5,0.5
