,gene_1,gene_2,gene_3,gene_4,HG_stat,TP,TN,rank
1757727,ENSG00000186468,ENSG00000177410,ENSG00000135390,ENSG00000174748,1.786337079047622e-57,0.6931818181818182,1.0,29
912908,ENSG00000182899,ENSG00000177410,ENSG00000196531,ENSG00000109475,1.786337079047622e-57,0.6931818181818182,1.0,30
649387,ENSG00000174748,ENSG00000112306,ENSG00000177410,ENSG00000135390,1.786337079047622e-57,0.6931818181818182,1.0,31
1689616,ENSG00000186468,ENSG00000174748,ENSG00000177410,ENSG00000135390,1.786337079047622e-57,0.6931818181818182,1.0,32
676730,ENSG00000174748,ENSG00000135390,ENSG00000186468,ENSG00000177410,1.786337079047622e-57,0.6931818181818182,1.0,33
2916528,ENSG00000135390,ENSG00000174748,ENSG00000177410,ENSG00000112306,1.786337079047622e-57,0.6931818181818182,1.0,34
2741615,ENSG00000138326,ENSG00000198034,ENSG00000135390,ENSG00000186468,1.786337079047622e-57,0.6931818181818182,1.0,35
2327864,ENSG00000112306,ENSG00000135390,ENSG00000177410,ENSG00000174748,1.786337079047622e-57,0.6931818181818182,1.0,36
2286575,ENSG00000112306,ENSG00000174748,ENSG00000135390,ENSG00000177410,1.786337079047622e-57,0.6931818181818182,1.0,37
2916520,ENSG00000135390,ENSG00000174748,ENSG00000177410,ENSG00000186468,1.786337079047622e-57,0.6931818181818182,1.0,38
2363604,ENSG00000198034,ENSG00000186468,ENSG00000135390,ENSG00000138326,1.786337079047622e-57,0.6931818181818182,1.0,39
1256310,ENSG00000109475,ENSG00000186468,ENSG00000177410,ENSG00000196531,1.786337079047622e-57,0.6931818181818182,1.0,40
2287016,ENSG00000112306,ENSG00000174748,ENSG00000177410,ENSG00000135390,1.786337079047622e-57,0.6931818181818182,1.0,41
2338727,ENSG00000112306,ENSG00000177410,ENSG00000135390,ENSG00000174748,1.786337079047622e-57,0.6931818181818182,1.0,42
665659,ENSG00000174748,ENSG00000138326,ENSG00000186468,ENSG00000125691,1.786337079047622e-57,0.6931818181818182,1.0,43
2389000,ENSG00000198034,ENSG00000135390,ENSG00000138326,ENSG00000186468,1.786337079047622e-57,0.6931818181818182,1.0,44
696984,ENSG00000174748,ENSG00000177410,ENSG00000112306,ENSG00000135390,1.786337079047622e-57,0.6931818181818182,1.0,45
1688924,ENSG00000186468,ENSG00000174748,ENSG00000138326,ENSG00000125691,1.786337079047622e-57,0.6931818181818182,1.0,46
2363359,ENSG00000198034,ENSG00000186468,ENSG00000138326,ENSG00000135390,1.786337079047622e-57,0.6931818181818182,1.0,47
2724345,ENSG00000138326,ENSG00000174748,ENSG00000125691,ENSG00000186468,1.786337079047622e-57,0.6931818181818182,1.0,48
911585,ENSG00000182899,ENSG00000177410,ENSG00000109475,ENSG00000196531,1.786337079047622e-57,0.6931818181818182,1.0,49
