,gene_1,gene_2,HG_pval,TP,TN,q_value,HG_rank,CCS,MGD,CCS_rank,rank,Plot
9761,ENSG00000196154,ENSG00000213402_negation,3.3783454068554436e-64,0.8173076923076923,0.9722222222222222,6.523952192095128e-61,46,0.7628871681724136,0.15088716817241357,157,12,1.0
75561,ENSG00000011600,ENSG00000213402_negation,9.174158484788635e-81,0.9230769230769231,0.9747474747474747,1.6298993447245186e-76,5,0.6611898985215949,0.13118989852159488,226,13,1.0
82769,ENSG00000162244_negation,ENSG00000213402_negation,1.939524494917655e-58,0.7788461538461539,0.9696969696969697,1.705840598099309e-55,101,0.7961125879435862,0.1581125879435861,133,14,1.0
81138,ENSG00000122406_negation,ENSG00000213402_negation,3.272501954575835e-61,0.8076923076923077,0.9671717171717171,3.928373258471972e-58,74,0.7588154611682991,0.1508154611682991,161,15,1.0
25263,ENSG00000204472,ENSG00000105640_negation,8.696499851317134e-53,0.625,0.9974747474747475,3.593110596708616e-50,214,1.0305037444459737,0.20850374444597375,23,16,1.0
9363,ENSG00000197956,ENSG00000213402_negation,7.965735131872543e-56,0.75,0.9722222222222222,5.054315839281213e-53,140,0.8328121051164189,0.1648121051164189,110,17,1.0
25244,ENSG00000204472,ENSG00000167526_negation,6.290659978892336e-53,0.6634615384615384,0.98989898989899,2.673711084138685e-50,209,0.9678603609000266,0.19586036090002665,53,18,1.0
25155,ENSG00000204472,ENSG00000142676_negation,2.4639839715977553e-52,0.6346153846153846,0.9949494949494949,9.353767529102573e-50,234,1.0130540513256014,0.20505405132560145,29,19,1.0
86634,ENSG00000213402_negation,ENSG00000122026_negation,1.8644803347568615e-54,0.7307692307692307,0.9747474747474747,9.464208720959243e-52,175,0.8611140520834437,0.17111405208344363,93,20,1.0
21236,ENSG00000170458,ENSG00000213402_negation,1.7510395634977122e-51,0.5961538461538461,1.0,6.005660056566226e-49,253,1.0754394383832553,0.21343943838325524,18,21,1.0
75596,ENSG00000011600,ENSG00000108654_negation,2.9802165906337724e-54,0.7211538461538461,0.9772727272727273,1.478969943925076e-51,179,0.8557263192443423,0.16972631924434226,97,22,1.0
25272,ENSG00000204472,ENSG00000142541_negation,7.070661153126037e-52,0.6538461538461539,0.98989898989899,2.650185235836873e-49,236,0.977996502688575,0.197996502688575,47,23,0.0
86643,ENSG00000213402_negation,ENSG00000134419_negation,5.26890527168271e-53,0.7019230769230769,0.9797979797979798,2.2502025201386867e-50,208,0.9059594197826888,0.17995941978268876,78,24,1.0
83093,ENSG00000163682_negation,ENSG00000213402_negation,3.700252604636749e-53,0.7115384615384616,0.9772727272727273,1.5956171802062481e-50,206,0.8884626433979412,0.17646264339794124,84,25,1.0
77531,ENSG00000087086,ENSG00000122406_negation,1.040800504921768e-66,0.7307692307692307,1.0,2.4987932338569074e-63,37,0.5738198958450006,0.1158198958450005,261,26,1.0
25213,ENSG00000204472,ENSG00000166441_negation,8.558111462976643e-52,0.6634615384615384,0.9873737373737373,3.180860248400327e-49,239,0.9605468095682026,0.19454680956820267,61,27,0.0
25207,ENSG00000204472,ENSG00000137154_negation,5.1761602720264286e-51,0.6346153846153846,0.9924242424242424,1.7138546289988087e-48,267,1.0054241752012136,0.2034241752012136,33,28,0.0
85194,ENSG00000198034_negation,ENSG00000213402_negation,1.697270870187518e-54,0.7596153846153846,0.9646464646464646,8.664957969518817e-52,174,0.8013064599355055,0.1593064599355054,130,29,1.0
82323,ENSG00000174748_negation,ENSG00000213402_negation,8.787669117290646e-52,0.6730769230769231,0.9848484848484849,3.2525726473251892e-49,240,0.950753992555687,0.18875399255568703,66,30,1.0
77545,ENSG00000087086,ENSG00000162244_negation,2.983410074699617e-63,0.7019230769230769,1.0,4.9077648212155865e-60,53,0.6037538340217994,0.12175383402179946,253,31,1.0
77648,ENSG00000087086,ENSG00000100316_negation,2.983410074699617e-63,0.7019230769230769,1.0,4.9077648212155865e-60,54,0.6037538340217994,0.12175383402179946,254,32,1.0
77555,ENSG00000087086,ENSG00000181163_negation,3.8815865935394644e-62,0.7211538461538461,0.9949494949494949,5.212695797239635e-59,63,0.5688481821168946,0.11484818211689456,262,33,1.0
25210,ENSG00000204472,ENSG00000148303_negation,9.467635526435359e-51,0.6538461538461539,0.9873737373737373,3.036171593677904e-48,276,0.9706038701586099,0.19660387015861003,50,34,0.0
77570,ENSG00000087086,ENSG00000198034_negation,5.187404267382438e-61,0.6826923076923077,1.0,5.9844455646214204e-58,76,0.6237097928063321,0.12570979280633215,250,35,1.0
77604,ENSG00000087086,ENSG00000122026_negation,8.078837251043292e-59,0.6634615384615384,1.0,7.249001937852795e-56,96,0.6436657515908648,0.1296657515908648,239,36,1.0
25160,ENSG00000204472,ENSG00000122406_negation,3.255020157833917e-67,0.75,0.9974747474747475,9.327312762598217e-64,31,0.47775362635819507,0.09375362635819517,304,37,0.0
25194,ENSG00000204472,ENSG00000112306_negation,2.8765202757947432e-49,0.6057692307692307,0.9949494949494949,7.960254598726569e-47,319,1.0429879895024006,0.2109879895024005,21,38,0.0
75591,ENSG00000011600,ENSG00000198242_negation,8.271696813785192e-50,0.6346153846153846,0.98989898989899,2.457468560753687e-47,298,0.9829908462700514,0.19499084627005148,43,39,1.0
75585,ENSG00000011600,ENSG00000134419_negation,9.467635526435359e-51,0.6538461538461539,0.9873737373737373,3.036171593677904e-48,277,0.9555569080932523,0.18955690809325243,65,40,1.0
25218,ENSG00000204472,ENSG00000213402_negation,6.114293634140682e-62,0.9038461538461539,0.9217171717171717,7.871577069773202e-59,69,0.5227021047022061,0.10270210470220613,274,41,0.0
77548,ENSG00000087086,ENSG00000163682_negation,9.694604701250863e-58,0.6538461538461539,1.0,7.554223072077328e-55,114,0.6536437309831311,0.13164373098313115,231,42,1.0
86635,ENSG00000213402_negation,ENSG00000133112_negation,3.4236490589013365e-51,0.7019230769230769,0.9747474747474747,1.156373268255759e-48,263,0.8909689090621017,0.17696890906210166,83,43,1.0
77584,ENSG00000087086,ENSG00000166441_negation,4.294865591965451e-58,0.6730769230769231,0.9974747474747475,3.6334971942846e-55,102,0.6262160584704926,0.12621605847049255,247,44,1.0
77561,ENSG00000087086,ENSG00000231500_negation,4.294865591965451e-58,0.6730769230769231,0.9974747474747475,3.6334971942846e-55,103,0.626209792806332,0.12620979280633213,249,45,1.0
77622,ENSG00000087086,ENSG00000131469_negation,4.294865591965451e-58,0.6730769230769231,0.9974747474747475,3.6334971942846e-55,105,0.6262160584704926,0.12621605847049255,248,46,1.0
77650,ENSG00000087086,ENSG00000198763_negation,5.202508768043949e-57,0.6634615384615384,0.9974747474747475,3.883563498942118e-54,115,0.6361940378627587,0.12819403786275885,243,47,0.0
77519,ENSG00000087086,ENSG00000025708,1.9006734598603435e-59,0.7307692307692307,0.9873737373737373,1.8154701517511203e-56,92,0.5360659212137658,0.1080659212137659,267,48,0.0
77613,ENSG00000087086,ENSG00000134419_negation,1.295753559508499e-55,0.6346153846153846,1.0,7.426005448045128e-53,142,0.6735996897676638,0.1355996897676638,219,49,0.0
77615,ENSG00000087086,ENSG00000167526_negation,5.202508768043949e-57,0.6634615384615384,0.9974747474747475,3.883563498942118e-54,119,0.6361877721985985,0.12818777219859845,244,50,0.0
77605,ENSG00000087086,ENSG00000133112_negation,1.295753559508499e-55,0.6346153846153846,1.0,7.426005448045128e-53,150,0.6735996897676638,0.1355996897676638,218,51,0.0
86649,ENSG00000213402_negation,ENSG00000198242_negation,3.935321457199866e-50,0.6923076923076923,0.9747474747474747,1.189042654301093e-47,294,0.900968239449138,0.17896823944913792,80,52,1.0
25166,ENSG00000204472,ENSG00000197756_negation,1.0723540694580467e-48,0.6346153846153846,0.9873737373737373,2.8350679864293974e-46,336,0.9906389101412837,0.20063891014128368,39,53,0.0
77578,ENSG00000087086,ENSG00000137154_negation,1.295753559508499e-55,0.6346153846153846,1.0,7.426005448045128e-53,155,0.6735996897676638,0.1355996897676638,220,54,0.0
77643,ENSG00000087086,ENSG00000142541_negation,6.139916310793423e-56,0.6538461538461539,0.9974747474747475,3.923848243194896e-53,138,0.6461657515908648,0.1301657515908648,238,55,0.0
10949,ENSG00000158869,ENSG00000213402_negation,2.422786227075831e-50,0.7019230769230769,0.9722222222222222,7.345342093425704e-48,293,0.8831326296174736,0.1751326296174736,87,56,1.0
77526,ENSG00000087086,ENSG00000142676_negation,1.4452635856057726e-54,0.625,1.0,7.42105257647089e-52,170,0.6835776691599301,0.13757766915993014,212,57,0.0
77634,ENSG00000087086,ENSG00000105640_negation,1.4452635856057726e-54,0.625,1.0,7.42105257647089e-52,172,0.6835776691599301,0.13757766915993014,211,58,0.0
9717,ENSG00000196154,ENSG00000162244_negation,2.2318311938687397e-53,0.6442307692307693,0.9949494949494949,9.718421410909511e-51,202,0.7230059167410113,0.14500591674101135,184,59,1.0
25178,ENSG00000204472,ENSG00000109475_negation,1.1358321972457437e-48,0.6442307692307693,0.9848484848484849,2.9588595282562068e-46,341,0.9731892170209113,0.1971892170209114,49,60,0.0
25219,ENSG00000204472,ENSG00000149273_negation,9.832290758294982e-48,0.5769230769230769,0.9974747474747475,2.31674329005332e-45,374,1.0803936414073054,0.21839364140730538,16,61,0.0
25276,ENSG00000204472,ENSG00000083845_negation,9.832290758294982e-48,0.5769230769230769,0.9974747474747475,2.31674329005332e-45,375,1.0803145602091644,0.21831456020916443,17,62,0.0
77597,ENSG00000087086,ENSG00000135486_negation,1.5753373083102536e-53,0.6153846153846154,1.0,6.962128777836225e-51,191,0.6935556485521964,0.13955564855219646,206,63,0.0
25251,ENSG00000204472,ENSG00000131469_negation,8.672366633070478e-49,0.6634615384615384,0.9797979797979798,2.348704269458182e-46,327,0.9382107495820259,0.19021074958202594,70,64,0.0
25226,ENSG00000204472,ENSG00000135486_negation,8.773136867169418e-48,0.6153846153846154,0.98989898989899,2.1006105688612577e-45,370,1.0181431098497744,0.20614310984977452,27,65,0.0
77619,ENSG00000087086,ENSG00000198242_negation,1.5753373083102536e-53,0.6153846153846154,1.0,6.962128777836225e-51,193,0.6935556485521964,0.13955564855219646,205,66,0.0
77564,ENSG00000087086,ENSG00000156508_negation,1.5753373083102536e-53,0.6153846153846154,1.0,6.962128777836225e-51,195,0.6935556485521964,0.13955564855219646,204,67,0.0
75604,ENSG00000011600,ENSG00000130255_negation,1.1358321972457437e-48,0.6442307692307693,0.9848484848484849,2.9588595282562068e-46,339,0.9580569080932524,0.19005690809325246,63,68,1.0
