"","1","2","3","4","5"
"HOXA1",0.335648148148148,0.335280373831776,0.235119047619048,0.375,0.375
"HOXA10",0.50462962962963,0.481308411214953,0.462797619047619,0.43625,0.482673267326733
"HOXA7",0.329861111111111,0.295560747663551,0.308035714285714,0.35,0.314356435643564
"HOXA9",0.376157407407407,0.401869158878505,0.413690476190476,0.43875,0.392326732673267
"HOXC13",0.405092592592593,0.440420560747664,0.424107142857143,0.375,0.375
"HSF1",0.359953703703704,0.34696261682243,0.398809523809524,0.415,0.372524752475248
"HSF2",0.494212962962963,0.503504672897196,0.498511904761905,0.48,0.492574257425743
"IKBKB",0.5,0.5,0.5,0.5,0.5
"ILF3",0.616898148148148,0.547897196261682,0.583333333333333,0.3775,0.377475247524752
"ING1",0.541666666666667,0.546728971962617,0.601190476190476,0.55,0.522277227722772
"ING4",0.253472222222222,0.235981308411215,0.232142857142857,0.265,0.263613861386139
"IRF1",0.462962962962963,0.464953271028037,0.452380952380952,0.5,0.441831683168317
"IRF2",0.650462962962963,0.627336448598131,0.625,0.6325,0.642326732673267
"IRF4",0.55787037037037,0.625,0.623511904761905,0.625,0.625
"IRF7",0.277777777777778,0.296728971962617,0.333333333333333,0.2725,0.273514851485148
"JUN",0.509259259259259,0.705607476635514,0.583333333333333,0.5475,0.475247524752475
"JUND",0.488425925925926,0.478971962616822,0.516369047619048,0.4525,0.477722772277228
"KHSRP",0.625,0.614485981308411,0.625,0.625,0.625
"KLF10",0.25,0.252336448598131,0.308035714285714,0.25125,0.251237623762376
"KLF2",0.393518518518518,0.372663551401869,0.376488095238095,0.3725,0.402227722772277
"KLF4",0.472222222222222,0.488317757009346,0.610119047619048,0.5075,0.533415841584158
"KLF5",0.390046296296296,0.427570093457944,0.400297619047619,0.44875,0.41460396039604
"KLF6",0.261574074074074,0.272196261682243,0.324404761904762,0.265,0.257425742574257
"KLF8",0.398148148148148,0.421728971962617,0.450892857142857,0.38875,0.407178217821782
"LMO2",0.178240740740741,0.167056074766355,0.363095238095238,0.125,0.125
"LYL1",0.393518518518518,0.385514018691589,0.511904761904762,0.40125,0.396039603960396
"MBD2",0.5,0.5,0.5,0.5,0.5
"MEF2A",0.456018518518519,0.434579439252336,0.453869047619048,0.45875,0.444306930693069
"MEF2C",0.585648148148148,0.552570093457944,0.592261904761905,0.61125,0.589108910891089
"MEF2D",0.324074074074074,0.36214953271028,0.321428571428571,0.31,0.321782178217822
"MEN1",0.168981481481482,0.253504672897196,0.188988095238095,0.15,0.132425742574257
"MITF",0.173611111111111,0.217289719626168,0.230654761904762,0.17,0.159653465346535
"MLLT10",0.729166666666667,0.726635514018692,0.699404761904762,0.725,0.738861386138614
"MLLT3",0.480324074074074,0.476635514018692,0.452380952380952,0.47625,0.488861386138614
"MSX2",0.0972222222222222,0.0525700934579439,0.300595238095238,0.11625,0.112623762376238
"MTA1",0.458333333333333,0.482476635514019,0.241071428571429,0.4475,0.477722772277228
"MTF1",0.375,0.375,0.40922619047619,0.3775,0.376237623762376
"MYB",0.376157407407407,0.375,0.380952380952381,0.41875,0.440594059405941
"MYBL1",0.252314814814815,0.251168224299065,0.257440476190476,0.25,0.25
"MYBL2",0.384259259259259,0.379672897196262,0.40327380952381,0.37875,0.377475247524752
"MYC",0.465277777777778,0.418224299065421,0.397321428571429,0.485,0.426980198019802
"MYCN",0.591435185185185,0.614485981308411,0.470238095238095,0.63375,0.590346534653465
"NANOG",0.305555555555556,0.335280373831776,0.363095238095238,0.2725,0.323019801980198
"NCOA6",0.287037037037037,0.45911214953271,0.53125,0.28375,0.237623762376238
"NF1",0.342592592592593,0.34696261682243,0.400297619047619,0.35375,0.350247524752475
"NFAT5",0.369212962962963,0.489485981308411,0.450892857142857,0.49125,0.383663366336634
"NFATC3",0.378472222222222,0.424065420560748,0.453869047619048,0.43375,0.402227722772277
"NFE2L2",0.481481481481481,0.489485981308411,0.480654761904762,0.46625,0.464108910891089
"NFIC",0.521990740740741,0.532710280373832,0.473214285714286,0.52375,0.535891089108911
"NFKB1",0.591435185185185,0.654205607476635,0.672619047619048,0.7,0.576732673267327
"NFKBIA",0.518518518518519,0.492990654205608,0.525297619047619,0.54,0.54950495049505
"NFRKB",0.509259259259259,0.463785046728972,0.508928571428571,0.5375,0.516089108910891
"NFYA",0.127314814814815,0.130841121495327,0.165178571428571,0.1425,0.126237623762376
"NFYB",0.418981481481481,0.293224299065421,0.215773809523809,0.4075,0.448019801980198
