,0,1,2,3,4,5,6,7
81,2.0,4.0,4.0,0.0,3.0,3.0,3.0,2.0
82,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
83,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
84,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
85,2.0,2.0,4.0,0.0,3.0,3.0,1.0,2.0
86,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
87,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
88,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
89,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
90,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
91,2.0,4.0,4.0,0.0,3.0,4.0,2.0,2.0
92,2.0,4.0,4.0,1.0,3.0,4.0,1.0,2.0
93,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
94,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
95,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
96,2.0,4.0,4.0,0.0,3.0,3.0,0.0,2.0
97,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
98,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
99,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
100,3.0,0.0,2.0,3.0,1.0,2.0,1.0,4.0
101,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
102,3.0,0.0,2.0,3.0,1.0,2.0,1.0,4.0
103,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
104,3.0,0.0,2.0,3.0,1.0,2.0,1.0,4.0
105,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0
106,1.0,2.0,0.0,4.0,3.0,1.0,4.0,0.0
107,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
108,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
109,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
110,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
111,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
112,3.0,0.0,2.0,3.0,1.0,2.0,1.0,4.0
113,3.0,0.0,2.0,1.0,3.0,2.0,1.0,4.0
114,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
115,3.0,0.0,3.0,3.0,1.0,2.0,2.0,4.0
116,3.0,0.0,2.0,1.0,3.0,2.0,0.0,4.0
117,3.0,0.0,2.0,3.0,3.0,2.0,2.0,4.0
118,3.0,0.0,2.0,3.0,1.0,2.0,3.0,4.0
119,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
120,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
121,1.0,3.0,0.0,4.0,4.0,1.0,0.0,0.0
122,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
123,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
124,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
125,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
126,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
127,3.0,0.0,2.0,0.0,1.0,2.0,3.0,4.0
128,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
129,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
130,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
131,0.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0
132,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
133,3.0,0.0,2.0,3.0,1.0,2.0,3.0,4.0
134,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
135,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
136,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
137,3.0,0.0,2.0,3.0,1.0,2.0,1.0,4.0
138,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
139,3.0,3.0,2.0,1.0,4.0,2.0,1.0,0.0
140,1.0,3.0,0.0,4.0,4.0,1.0,4.0,0.0
141,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
142,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
143,3.0,0.0,2.0,0.0,1.0,2.0,1.0,4.0
144,3.0,0.0,2.0,1.0,1.0,2.0,1.0,4.0
145,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
146,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
147,3.0,0.0,2.0,3.0,1.0,2.0,2.0,4.0
148,3.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0
149,1.0,3.0,0.0,4.0,4.0,1.0,0.0,0.0
150,3.0,0.0,2.0,1.0,1.0,2.0,1.0,4.0
151,3.0,0.0,2.0,3.0,1.0,2.0,3.0,4.0
152,3.0,0.0,2.0,1.0,1.0,2.0,2.0,4.0
